year,indicator_id,indicator_name,value,unit,source_id,notes
1990,avg-wage,賃金指数,96.4,指数,estat-wage,
1991,avg-wage,賃金指数,100.7,指数,estat-wage,
1992,avg-wage,賃金指数,102.7,指数,estat-wage,
1993,avg-wage,賃金指数,102.9,指数,estat-wage,
1994,avg-wage,賃金指数,104.5,指数,estat-wage,
1995,avg-wage,賃金指数,105.6,指数,estat-wage,
1996,avg-wage,賃金指数,106.8,指数,estat-wage,
1997,avg-wage,賃金指数,108.5,指数,estat-wage,
1998,avg-wage,賃金指数,107.0,指数,estat-wage,
1999,avg-wage,賃金指数,105.5,指数,estat-wage,
2000,avg-wage,賃金指数,105.6,指数,estat-wage,
2001,avg-wage,賃金指数,103.9,指数,estat-wage,
2002,avg-wage,賃金指数,100.9,指数,estat-wage,
2003,avg-wage,賃金指数,100.1,指数,estat-wage,
2004,avg-wage,賃金指数,99.4,指数,estat-wage,
2005,avg-wage,賃金指数,100.0,指数,estat-wage,
2006,avg-wage,賃金指数,100.2,指数,estat-wage,
2007,avg-wage,賃金指数,99.2,指数,estat-wage,
2008,avg-wage,賃金指数,98.9,指数,estat-wage,
2009,avg-wage,賃金指数,95.1,指数,estat-wage,
2010,avg-wage,賃金指数,95.7,指数,estat-wage,
2023,housing-starts,住宅着工戸数,281988.0,戸,estat-housing,
1991,population,総人口,100.0,千人,estat-population,
2013,retail-sales,小売販売額,7446.0,10億円,estat-retail,
2014,retail-sales,小売販売額,7636.0,10億円,estat-retail,
2015,retail-sales,小売販売額,7859.0,10億円,estat-retail,
