value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
ＮＯ,010121000,010121000,110,単位2,50103,103_大韓民国,2022000000,2022年
ＮＯ,010121000,010121000,110,単位2,50205,205_英国,2025000000,2025年
ＮＯ,010121000,010121000,110,単位2,50205,205_英国,2022000000,2022年
ＮＯ,010121000,010121000,110,単位2,50213,213_ドイツ,2022000000,2022年
ＮＯ,010121000,010121000,110,単位2,50213,213_ドイツ,2021000000,2021年
ＮＯ,010121000,010121000,110,単位2,50234,234_トルコ,2024000000,2024年
ＮＯ,010121000,010121000,110,単位2,50234,234_トルコ,2023000000,2023年
ＮＯ,010121000,010121000,110,単位2,50234,234_トルコ,2021000000,2021年
ＮＯ,010121000,010121000,110,単位2,50304,304_アメリカ合衆国,2025000000,2025年
ＮＯ,010121000,010121000,110,単位2,50304,304_アメリカ合衆国,2024000000,2024年
ＮＯ,010121000,010121000,110,単位2,50304,304_アメリカ合衆国,2023000000,2023年
ＮＯ,010121000,010121000,110,単位2,50304,304_アメリカ合衆国,2022000000,2022年
ＮＯ,010121000,010121000,110,単位2,50601,601_オーストラリア,2025000000,2025年
ＮＯ,010121000,010121000,110,単位2,50601,601_オーストラリア,2024000000,2024年
ＮＯ,010121000,010121000,110,単位2,50601,601_オーストラリア,2023000000,2023年
ＮＯ,010121000,010121000,110,単位2,50601,601_オーストラリア,2022000000,2022年
ＮＯ,010121000,010121000,110,単位2,50601,601_オーストラリア,2021000000,2021年
0,010121000,010121000,120,合計_数量1,50103,103_大韓民国,2022000000,2022年
0,010121000,010121000,120,合計_数量1,50205,205_英国,2025000000,2025年
0,010121000,010121000,120,合計_数量1,50205,205_英国,2022000000,2022年
0,010121000,010121000,120,合計_数量1,50213,213_ドイツ,2022000000,2022年
0,010121000,010121000,120,合計_数量1,50213,213_ドイツ,2021000000,2021年
0,010121000,010121000,120,合計_数量1,50234,234_トルコ,2024000000,2024年
0,010121000,010121000,120,合計_数量1,50234,234_トルコ,2023000000,2023年
0,010121000,010121000,120,合計_数量1,50234,234_トルコ,2021000000,2021年
0,010121000,010121000,120,合計_数量1,50304,304_アメリカ合衆国,2025000000,2025年
0,010121000,010121000,120,合計_数量1,50304,304_アメリカ合衆国,2024000000,2024年
0,010121000,010121000,120,合計_数量1,50304,304_アメリカ合衆国,2023000000,2023年
0,010121000,010121000,120,合計_数量1,50304,304_アメリカ合衆国,2022000000,2022年
0,010121000,010121000,120,合計_数量1,50601,601_オーストラリア,2025000000,2025年
0,010121000,010121000,120,合計_数量1,50601,601_オーストラリア,2024000000,2024年
0,010121000,010121000,120,合計_数量1,50601,601_オーストラリア,2023000000,2023年
0,010121000,010121000,120,合計_数量1,50601,601_オーストラリア,2022000000,2022年
0,010121000,010121000,120,合計_数量1,50601,601_オーストラリア,2021000000,2021年
1,010121000,010121000,130,合計_数量2,50103,103_大韓民国,2022000000,2022年
1,010121000,010121000,130,合計_数量2,50205,205_英国,2025000000,2025年
13,010121000,010121000,130,合計_数量2,50205,205_英国,2022000000,2022年
6,010121000,010121000,130,合計_数量2,50213,213_ドイツ,2022000000,2022年
4,010121000,010121000,130,合計_数量2,50213,213_ドイツ,2021000000,2021年
2,010121000,010121000,130,合計_数量2,50234,234_トルコ,2024000000,2024年
1,010121000,010121000,130,合計_数量2,50234,234_トルコ,2023000000,2023年
1,010121000,010121000,130,合計_数量2,50234,234_トルコ,2021000000,2021年
4,010121000,010121000,130,合計_数量2,50304,304_アメリカ合衆国,2025000000,2025年
3,010121000,010121000,130,合計_数量2,50304,304_アメリカ合衆国,2024000000,2024年
2,010121000,010121000,130,合計_数量2,50304,304_アメリカ合衆国,2023000000,2023年
1,010121000,010121000,130,合計_数量2,50304,304_アメリカ合衆国,2022000000,2022年
4,010121000,010121000,130,合計_数量2,50601,601_オーストラリア,2025000000,2025年
6,010121000,010121000,130,合計_数量2,50601,601_オーストラリア,2024000000,2024年
22,010121000,010121000,130,合計_数量2,50601,601_オーストラリア,2023000000,2023年
5,010121000,010121000,130,合計_数量2,50601,601_オーストラリア,2022000000,2022年
7,010121000,010121000,130,合計_数量2,50601,601_オーストラリア,2021000000,2021年
